"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL1024";"IFOSFAMIDE";"IFOSFAMIDE|ISOCYCLOPHOSPHAMIDE|ISOPHOSPHAMIDE|Ifex|Ifsofamide|MITOXANA|MJF 9325|MJF-9325|NSC-109724|Z-4942|Z4942";"Small molecule";"4.0";"261.09";"200";"812";"1.88";"41.57";"2";"1";"0";"5";"N";"0.61";"None";"0.02";"0.10";"0.10";"0";"MOL";"0";"14";"4";"1";"0";"260.0248";"-0.40";"NEUTRAL";"C7H15Cl2N2O2P";"O=P1(NCCCl)OCCCN1CCCl";"HOMGKSMUEGBAAB-UHFFFAOYSA-N"
"CHEMBL4597794";"TECHNETIUM  TEBOROXIME";"";"Small molecule";"4.0";"581.74";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"0";"None";"None";"None";"None";"580.0994";"None";"None";"C19H29BClN6O6Tc";"";""
"CHEMBL2110560";"PENTETATE CALCIUM TRISODIUM YB";"";"Small molecule";"4.0";"670.40";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"0";"None";"None";"None";"None";"670.9700";"None";"None";"C14H18CaN3Na3O10Yb";"";""
"CHEMBL2110571";"SODIUM PERTECHNETATE";"";"Small molecule";"4.0";"184.99";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"1";"None";"None";"None";"None";"183.8758";"None";"None";"NaO4Tc";"";""
"CHEMBL1201078";"INDIUM IN 111 CHLORIDE";"111INDIUM TRICHLORIDE|INDICLOR|INDIUM (111 IN) CHLORIDE|INDIUM (111IN) CHLORIDE|INDIUM (111IN) CHLORIDE INJECTION|INDIUM CHLORIDE (111INCL3)|INDIUM CHLORIDE IN-111|INDIUM IN 111 CHLORIDE|INDIUM IN 111M CHLORIDE|INDIUM IN-111 CHLORIDE|INDIUM IN-111M CHLORIDE|INDIUM(III) 111 CHLORIDE|INDIUM-111 CHLORIDE";"Small molecule";"4.0";"217.26";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"1";"None";"None";"None";"None";"219.8104";"None";"None";"Cl3In";"";""
"CHEMBL1200529";"COBALTOUS CHLORIDE CO 57";"57CO|COBALT CHLORIDE CO-57|COBALT CHLORIDE, CO-57|COBALTOUS CHLORIDE CO 57|COBALTOUS CHLORIDE CO-57|Cobatope-57";"Small molecule";"4.0";"127.84";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"1";"None";"None";"None";"None";"128.8709";"None";"None";"Cl2Co";"";""
"CHEMBL1200443";"MERETHOXYLLINE PROCAINE";"MERETHOXYLINE PROCAINE|MERETHOXYLLINE PROCAINE|PROCAINE MERETHOXYLLINE|Procaine merethoxylline";"Small molecule";"4.0";"764.24";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"0";"None";"None";"None";"None";"765.2549";"None";"None";"C28H41HgN3O9";"";""
"CHEMBL545";"ALCOHOL";"ABLYSINOL|ALCOHOL|ALCOHOL 190 PROOF|ALCOHOL 95%|ALCOHOL ANHYDROUS|ALCOHOL DENAT.|ALCOHOL DENATURED|ALCOHOL DETERMINATION--ALCOHOL|ALCOHOL, ABSOLUTE|ALCOHOL, DEHYDRATED|ALCOHOL, DENATURED|ALCOHOL, DILUTED|ALCOHOL, RUBBING|ALCOHOL,DEHYDRATED|ALCOHOL,DENATURED|ALCOHOL,ETHYL|ALCOHOL,SDA|ALCOHOLUM|ANHYDROUS ETHANOL|Alcohol|Alcohol, Diluted|Alcohol, Rubbing|B3324|DEHYDRATED ALCOHOL|DEHYDRATED ETHANOL|E1510|EDIBLE ALCOHOL|ETHANOL|ETHANOL IN ALCOHOLIC BEVERAGES|ETHANOL, ANHYDROUS|ETHANOL, DEHYDRATED|ETHANOLUM|ETHYL ALCOHOL|ETHYL ALCOHOL, ABSOLUTE|ETHYL ALCOHOL, DEHYDRATED|ETHYLICUM|Ethanol|Ethyl Alcohol|FEMA NO. 2419|GRAIN ALCOHOL|METHYLATED MINERAL|NCI-C03134|NSC-85228|PM-6193-200|SD ALCOHOL|SPIRIGEL|SURG|TECSOL|VODKA";"Small molecule";"4.0";"46.07";"139";"2764";"0.00";"20.23";"1";"1";"0";"0";"Y";"0.41";"None";"None";"-0.16";"-0.16";"0";"MOL";"0";"3";"1";"1";"0";"46.0419";"0.60";"NEUTRAL";"C2H6O";"CCO";"LFQSCWFLJHTTHZ-UHFFFAOYSA-N"
"CHEMBL3707391";"TECHNETIUM (99MTC) ETARFOLATIDE";"FOLATESCAN|TC-99M EC-20|TC99M-EC20|TECHNETIUM (99MTC) ETARFOLATIDE|TECHNETIUM TC 99M ETARFOLATIDE|TECHNETIUM TC 99M PTEROTETRAMIDE|TECHNETIUM TC-99M EC20|TECHNETIUM TC-99M ETARFOLATIDE|TECHNETIUM TC-99M PTEROTETRAMIDE";"Small molecule";"2.0";"855.70";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"0";"None";"None";"None";"None";"854.0938";"None";"None";"C29H31N11O12STc";"";""
"CHEMBL4301175";"FERRIC AMMONIUM CITRATE";"";"Small molecule";"4.0";"261.98";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"0";"None";"None";"None";"None";"261.9650";"None";"None";"C6H8FeNO7";"";""
"CHEMBL4302512";"THALLOUS CHLORIDE";"NSC-15197|THALLIUM CHLORIDE (TLCL)";"Small molecule";"4.0";"243.87";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"1";"None";"None";"None";"None";"243.9746";"None";"None";"H4ClTl";"";""
"CHEMBL61511";"PERFOSFAMIDE";"4-HC|4-HYDROPEROXYCYCLOPHOSPHAMIDE|NSC-181815|PERFOSFAMIDE|Pergamid";"Small molecule";"2.0";"293.09";"10";"15";"1.70";"71.03";"4";"2";"0";"6";"N";"0.34";"11.36";"0.00";"0.39";"0.39";"0";"MOL";"0";"16";"6";"2";"0";"292.0146";"0.52";"NEUTRAL";"C7H15Cl2N2O4P";"O=P1(N(CCCl)CCCl)NC(OO)CCO1";"VPAWVRUHMJVRHU-UHFFFAOYSA-N"
"CHEMBL58323";"ERLOSAMIDE";"(R)-LACOSAMIDE 1|ADD 243037|ADD-243037|ERLOSAMIDE|LACOSAMIDE|LACOSAMIDE CV|SPM 927|SPM-927|VIMPAT";"Small molecule";"4.0";"250.30";"33";"234";"0.45";"67.43";"3";"2";"0";"6";"N";"0.77";"12.46";"None";"-0.02";"-0.02";"1";"MOL";"0";"18";"5";"2";"0";"250.1317";"-0.66";"NEUTRAL";"C13H18N2O3";"COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1";"VPPJLAIAVCUEMN-GFCCVEGCSA-N"
"CHEMBL254219";"DIGITOXIN";"CRISTAPURAT|CRYSTODIGIN|Crystodigin|DIGIMERCK|DIGITALIN, CRYSTALLINE|DIGITOPHYLLIN|DIGITOXIN|DIGITOXINUM|DIGITOXOSIDE|GLUCODIGIN|LANATOXIN|NATIVELLE DIGITALINE|NSC-7529|PURPURID|TRADIGAL";"Small molecule";"4.0";"764.95";"241";"1088";"3.25";"182.83";"13";"5";"2";"7";"N";"0.19";"7.18";"0.24";"3.60";"3.18";"0";"MOL";"0";"54";"13";"5";"2";"764.4347";"2.20";"NEUTRAL";"C41H64O13";"C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O";"WDJUZGPOPHTGOT-XUDUSOBPSA-N"
"CHEMBL1229";"OSELTAMIVIR";"GS 4104|GS-4071 ETHYL ESTER|GS-4104|GS4104|OSELTAMIVIR|Oseltamivir Carboxylate|RO 640796|RO-64-0796|RO-640796|RO64-0796";"Small molecule";"4.0";"312.41";"70";"1188";"1.29";"90.65";"5";"2";"0";"7";"N";"0.69";"None";"9.31";"1.16";"-0.72";"0";"MOL";"0";"22";"6";"3";"0";"312.2049";"1.02";"BASE";"C16H28N2O4";"CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1";"VSZGPKBBMSAYNT-RRFJBIMHSA-N"
"CHEMBL2304041";"SAGOPILONE";"BAY86-5302|DE-03757|SAGOPILONE|ZK 219477|ZK-219477|ZK-EPO|ZK219477";"Small molecule";"2.0";"543.73";"";"";"5.46";"109.25";"8";"2";"2";"3";"N";"0.30";"None";"2.88";"5.10";"5.10";"2";"MOL";"0";"38";"7";"2";"2";"543.2655";"1.43";"NEUTRAL";"C30H41NO6S";"C=CC[C@H]1C(=O)C(C)(C)[C@@H](O)CC(=O)O[C@H](c2ccc3sc(C)nc3c2)C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@@H]1O";"BFZKMNSQCNVFGM-UCEYFQQTSA-N"
"CHEMBL1201049";"ECONAZOLE NITRATE";"ECONAZOLE NITRATE|ECOSTATIN|ECOSTATIN TWIN PACK|ECOSTATIN-1|ECOZA|GYNO-PEVARYL|GYNO-PEVARYL 1 CP PACK|GYNO-PEVARYL 150|GYNO-PEVARYL ONCE|NSC-243115|PEVARYL|R 14,827|R-14827|R14827|SQ 13050|SQ-13050|SQ13050|Spectazole";"Small molecule";"4.0";"444.70";"142";"241";"5.80";"27.05";"3";"0";"1";"6";"N";"0.54";"None";"6.48";"5.35";"5.32";"3";"MOL";"0";"24";"3";"0";"1";"380.0250";"-0.92";"NEUTRAL";"C18H16Cl3N3O4";"Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O";"DDXORDQKGIZAME-UHFFFAOYSA-N"
"CHEMBL3989702";"TENOFOVIR";"GS-1278|PMPA|TENOFOVIR";"Small molecule";"3.0";"305.23";"";"";"-0.05";"136.38";"7";"3";"0";"5";"N";"0.65";"1.35";"3.74";"-3.44";"-3.55";"2";"MOL";"0";"19";"9";"4";"0";"287.0783";"-0.23";"ACID";"C9H16N5O5P";"C[C@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O.O";"PINIEAOMWQJGBW-FYZOBXCZSA-N"
"CHEMBL129857";"AS-602868";"AS-602868|SPC-839";"Small molecule";"1.0";"366.40";"16";"43";"3.01";"84.42";"7";"1";"0";"4";"N";"0.71";"13.91";"3.90";"3.64";"3.64";"3";"MOL";"0";"26";"7";"1";"0";"366.0787";"-0.97";"NEUTRAL";"C18H14N4O3S";"COc1cccc2nc(-c3cccs3)nc(NN3C(=O)C=C(C)C3=O)c12";"GZGLPBNOIFLLRE-UHFFFAOYSA-N"
"CHEMBL504652";"TC-2216";"TC-2216";"Small molecule";"1.0";"203.29";"9";"22";"1.41";"28.16";"3";"1";"0";"1";"Y";"0.75";"None";"10.64";"0.78";"-2.17";"1";"MOL";"0";"15";"3";"1";"0";"203.1422";"-0.41";"BASE";"C12H17N3";"c1cncc(N2CCC3(CCCN3)C2)c1";"NXIPMBQVNTWEEX-UHFFFAOYSA-N"
"CHEMBL4650363";".ALPHA.-R-LIPOIC ACID CHOLINE ESTER CHLORIDE";".ALPHA.-R-LIPOIC ACID CHOLINE ESTER CHLORIDE|CHOLINE LIPOATE CHLORIDE|EV-06 CHLORIDE|EV06 CHLORIDE|LACE CHLORIDE|UMR-844|UMR-844 CHLORIDE|UNR844|UNR844 CHLORIDE";"Small molecule";"2.0";"327.94";"";"";"2.95";"26.30";"4";"0";"0";"8";"N";"0.30";"None";"None";"-1.88";"-1.88";"0";"MOL";"0";"18";"3";"0";"0";"292.1399";"0.84";"None";"C13H26ClNO2S2";"C[N+](C)(C)CCOC(=O)CCCC[C@@H]1CCSS1.[Cl-]";"QMADNKDMPGZUKN-UTONKHPSSA-M"
"CHEMBL513994";"PRX-08066";"";"Small molecule";"2.0";"401.90";"5";"12";"4.43";"64.84";"6";"1";"0";"4";"N";"0.70";"None";"7.34";"3.88";"3.61";"3";"MOL";"0";"27";"5";"1";"0";"401.0877";"-2.35";"NEUTRAL";"C19H17ClFN5S";"N#Cc1cc(CN2CCC(Nc3ncnc4sc(Cl)cc34)CC2)ccc1F";"IENZFHBNCRQMNP-UHFFFAOYSA-N"
"CHEMBL3989478";"THIETHYLPERAZINE MALEATE";"GS-95|NSC-130044|THIETHYLPERAZINE DIMALEATE|THIETHYLPERAZINE MALEATE|THIETYLPERAZINE MALEATE|Torecan";"Small molecule";"4.0";"631.77";"4";"10";"5.04";"9.72";"5";"0";"1";"6";"N";"0.63";"None";"8.00";"4.66";"3.97";"2";"MOL";"0";"27";"3";"0";"1";"399.1803";"-1.61";"NEUTRAL";"C30H37N3O8S2";"CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O";"RVBRTNPNFYFDMZ-SPIKMXEPSA-N"
"CHEMBL4297184";"CIFORADENANT";"CIFORADENANT|CPI-444|V-81444|V81444";"Small molecule";"2.0";"407.43";"4";"11";"2.12";"127.00";"10";"1";"0";"6";"N";"0.51";"None";"3.14";"1.46";"1.46";"4";"MOL";"0";"30";"10";"2";"0";"407.1706";"-1.36";"NEUTRAL";"C20H21N7O3";"Cc1ccc(-c2nc(N)nc3c2nnn3Cc2cccc(CO[C@H]3CCOC3)n2)o1";"KURQKNMKCGYWRJ-HNNXBMFYSA-N"
"CHEMBL1531";"ETONOGESTREL";"ETONOGESTREL|IMPLANON|Implanon|NEXPLANON|ORG 3236|ORG-3236";"Small molecule";"4.0";"324.46";"6";"10";"4.05";"37.30";"2";"1";"0";"1";"N";"0.58";"None";"None";"3.60";"3.60";"0";"MOL";"0";"24";"2";"1";"0";"324.2089";"1.93";"NEUTRAL";"C22H28O2";"C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC";"GCKFUYQCUCGESZ-BPIQYHPVSA-N"
"CHEMBL1213165";"DOLUTEGRAVIR SODIUM";"DOLUTEGRAVIR SODIUM|DOLUTEGRAVIR SODIUM SALT|DOVATO|GSK-1349572|GSK-1349572A|GSK1349572A|TIVICAY|TIVICAY PD";"Small molecule";"4.0";"441.37";"21";"203";"1.35";"100.87";"6";"2";"0";"3";"N";"0.78";"10.10";"None";"1.10";"1.10";"2";"MOL";"0";"30";"8";"2";"0";"419.1293";"-0.92";"NEUTRAL";"C20H18F2N3NaO5";"C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c([O-])c3C(=O)N12.[Na+]";"UGWJRRXTMKRYNK-VSLILLSYSA-M"
"CHEMBL2431768";"LCL-161";"LCL 161|LCL-161|LCL161|NVP-LCL 161";"Small molecule";"2.0";"500.64";"26";"96";"3.85";"91.40";"6";"2";"1";"8";"N";"0.54";"11.87";"8.60";"3.78";"2.55";"2";"MOL";"0";"35";"7";"2";"1";"500.2257";"-0.64";"BASE";"C26H33FN4O3S";"CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2ccc(F)cc2)cs1)C1CCCCC1";"UFPFGVNKHCLJJO-SSKFGXFMSA-N"
"CHEMBL2110732";"DACOMITINIB";"DACOMITINIB|Dacomitinib|PF-00299804";"Small molecule";"4.0";"469.95";"303";"1179";"5.16";"79.38";"6";"2";"1";"7";"N";"0.47";"12.50";"8.55";"4.71";"3.53";"3";"MOL";"0";"33";"7";"2";"1";"469.1681";"-1.61";"BASE";"C24H25ClFN5O2";"COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1";"LVXJQMNHJWSHET-AATRIKPKSA-N"
"CHEMBL426084";"SAMIDORPHAN";"ALKS 33|ALKS-33|ALKS-5461 COMPONENT SAMIDORPHAN|RDC-0313|RDC-0313-00|SAMIDORPHAN|Samidorphan";"Small molecule";"4.0";"370.45";"3";"3";"1.25";"103.86";"5";"3";"0";"3";"N";"0.74";"7.88";"8.94";"0.46";"0.12";"1";"MOL";"0";"27";"6";"4";"0";"370.1893";"1.17";"BASE";"C21H26N2O4";"NC(=O)c1ccc2c(c1O)[C@]13CCN(CC4CC4)[C@H](C2)[C@]1(O)CCC(=O)C3";"RYIDHLJADOKWFM-MAODMQOUSA-N"
"CHEMBL4297365";"CESIUM CS-131";"CESIUM CS-131|CESIUM-131";"Small molecule";"1.0";"130.91";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"1";"None";"None";"None";"None";"132.9055";"None";"None";"Cs";"[131Cs]";"TVFDJXOCXUVLDH-YPZZEJLDSA-N"
"CHEMBL2219425";"ARIPIPRAZOLE LAUROXIL";"ALKS 9072|ALKS-9070|ALKS-9072|ARIPIPRAZOLE LAUROXIL|ARISTADA|ARISTADA INITIO|ARISTADA INITIO KIT|RDC-3317|RDC3317";"Small molecule";"4.0";"660.73";"";"";"8.68";"62.32";"6";"0";"2";"19";"N";"0.11";"None";"7.46";"9.33";"9.00";"2";"MOL";"0";"45";"7";"0";"2";"659.3257";"-0.83";"NEUTRAL";"C36H51Cl2N3O4";"CCCCCCCCCCCC(=O)OCN1C(=O)CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc21";"DDINXHAORAAYAD-UHFFFAOYSA-N"
"CHEMBL3185463";"ELZASONAN";"ELZASONAN";"Small molecule";"2.0";"448.42";"1";"1";"4.87";"26.79";"4";"0";"0";"3";"N";"0.63";"None";"7.79";"4.55";"4.01";"2";"MOL";"0";"29";"4";"0";"0";"447.0939";"-1.47";"NEUTRAL";"C22H23Cl2N3OS";"CN1CCN(c2ccccc2/C=C2\SCCN(c3ccc(Cl)c(Cl)c3)C2=O)CC1";"LHYMPSWMHXUWSK-STZFKDTASA-N"
"CHEMBL597800";"ATF-936";"ATF-936|ATF936";"Small molecule";"1.0";"482.58";"2";"2";"5.65";"62.58";"6";"0";"1";"9";"N";"0.29";"None";"None";"5.86";"5.86";"4";"MOL";"0";"36";"6";"0";"1";"482.2206";"-1.13";"NEUTRAL";"C30H30N2O4";"C#CCOc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=O)n2Cc1ccc(OC)c(OCC)c1";"IIBRYYCFSIBSFT-UHFFFAOYSA-N"
"CHEMBL4469414";"LUVIXASERTIB";"CFI-402257|CFI402257|LUVIXASERTIB";"Small molecule";"1.0";"498.59";"12";"34";"4.36";"113.67";"8";"3";"0";"8";"N";"0.33";"None";"4.53";"2.91";"2.91";"4";"MOL";"0";"37";"9";"3";"0";"498.2379";"-1.19";"NEUTRAL";"C28H30N6O3";"Cc1cc(-c2cnn3c(NC[C@H]4C[C@@](C)(O)C4)cc(Oc4cccnc4)nc23)ccc1C(=O)NC1CC1";"PMQUGSPFUBGJCZ-CHOKWEPUSA-N"
"CHEMBL539378";"LANIQUIDAR";"LANIQUIDAR";"Small molecule";"2.0";"584.72";"2";"3";"6.49";"69.48";"7";"0";"2";"7";"N";"0.20";"None";"8.10";"6.28";"5.50";"5";"MOL";"0";"44";"7";"0";"2";"584.2787";"-0.63";"NEUTRAL";"C37H36N4O3";"COC(=O)c1cnc2n1CCc1ccccc1C2=C1CCN(CCc2ccc(OCc3ccc4ccccc4n3)cc2)CC1";"TULGGJGJQXESOO-UHFFFAOYSA-N"
"CHEMBL3977543";"BELVARAFENIB";"BELVARAFENIB|Belvarafenib";"Small molecule";"2.0";"478.94";"5";"6";"5.92";"105.82";"7";"3";"1";"4";"N";"0.30";"13.11";"4.69";"5.24";"5.23";"5";"MOL";"0";"33";"7";"4";"1";"478.0779";"-1.52";"NEUTRAL";"C23H16ClFN6OS";"Cc1ccc2c(Nc3cccc(Cl)c3F)nccc2c1NC(=O)c1csc2c(N)ncnc12";"KVCQTKNUUQOELD-UHFFFAOYSA-N"
"CHEMBL30008";"FLUNARIZINE";"FLUNARIZINE";"Small molecule";"4.0";"404.50";"160";"742";"5.39";"6.48";"2";"0";"1";"6";"N";"0.54";"None";"7.22";"6.17";"5.94";"3";"MOL";"0";"30";"2";"0";"1";"404.2064";"-0.98";"NEUTRAL";"C26H26F2N2";"Fc1ccc(C(c2ccc(F)cc2)N2CCN(C/C=C/c3ccccc3)CC2)cc1";"SMANXXCATUTDDT-QPJJXVBHSA-N"
"CHEMBL3644587";"2X-121";"2X-121|E-7449|E7449|PARP INHIBITOR 2X-121|STENOPARIB";"Small molecule";"2.0";"317.35";"13";"33";"2.39";"73.38";"5";"2";"0";"2";"N";"0.76";"9.47";"5.14";"1.68";"1.68";"3";"MOL";"0";"24";"6";"2";"0";"317.1277";"-0.95";"NEUTRAL";"C18H15N5O";"O=c1[nH]nc2c3c(cccc13)N=C(CN1Cc3ccccc3C1)N2";"JLFSBHQQXIAQEC-UHFFFAOYSA-N"
"CHEMBL4650351";"PARPI";"PARPI";"Small molecule";"3.0";"488.49";"";"";"3.39";"86.37";"4";"1";"0";"4";"N";"0.48";"9.96";"None";"3.18";"3.18";"4";"MOL";"0";"36";"7";"1";"0";"488.1660";"-1.48";"NEUTRAL";"C27H22F2N4O3";"O=C(c1ccc(F)cc1)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1";"LTZZZXXIKHHTMO-UHFFFAOYSA-N"
